0,526.0,0.006447247,584
10,526.0,0.012960005,1056
20,534.0,0.017035737,1544
30,529.0,0.02181292,2041
40,545.0,0.025898182,2529
50,539.0,0.03081998,3014
60,538.0,0.036961584,3488
70,532.0,0.040886326,3970
80,530.0,0.046341225,4449
90,529.0,0.051173422,4919
100,526.0,0.054693192,5392
110,529.0,0.063796507,5891
120,529.0,0.067260081,6372
130,530.0,0.070552922,6864
140,533.0,0.073707492,7346
150,536.0,0.07721967,7849
160,530.0,0.080427296,8326
170,532.0,0.085244664,8811
180,533.0,0.089634919,9296
190,534.0,0.0932203,9783
200,540.0,0.097266562,10270
210,536.0,0.100560157,10755
220,542.0,0.115127074,11240
230,544.0,0.117851916,11736
240,554.0,0.120529969,12215
250,554.0,0.126064032,12698
260,556.0,0.130276146,13185
270,550.0,0.133376255,13670
280,552.0,0.136627146,14158
290,556.0,0.14315833,14642
300,560.0,0.147356886,15122
310,560.0,0.150451846,15605
320,558.0,0.1544389,16081
330,560.0,0.160376046,16559
340,560.0,0.163762429,17038
350,566.0,0.166691326,17520
360,566.0,0.170250533,18001
370,568.0,0.173396832,18487
380,570.0,0.176796552,18972
390,568.0,0.18388162,19445
400,570.0,0.187733557,19936
410,570.0,0.190302335,20407
420,570.0,0.194249774,20898
430,566.0,0.197908285,21377
440,570.0,0.201555027,21850
450,570.0,0.204514001,22338
460,572.0,0.207842942,22826
470,574.0,0.225649595,23309
480,572.0,0.233118505,23793
490,574.0,0.236473239,24273
500,574.0,0.240000799,24765
510,576.0,0.243644149,25260
520,576.0,0.247563626,25745
530,578.0,0.25126123,26223
540,574.0,0.254716016,26707
550,578.0,0.258256299,27184
560,580.0,0.261822484,27672
570,574.0,0.265410305,28149
580,574.0,0.269851699,28635
590,574.0,0.273873975,29106
600,576.0,0.277793463,29575
610,580.0,0.280568379,30063
620,580.0,0.285269114,30548
630,580.0,0.289544968,31033
640,578.0,0.292741174,31505
650,576.0,0.295734121,31978
660,572.0,0.300313976,32459
670,570.0,0.303372086,32942
680,572.0,0.307161173,33414
690,568.0,0.31120438,33901
700,566.0,0.315169121,34381
710,570.0,0.31823804,34871
720,564.0,0.321060452,35352
730,570.0,0.324659219,35832
740,572.0,0.32946252,36332
750,570.0,0.336406967,36826
760,574.0,0.341578861,37316
770,570.0,0.345124126,37799
780,576.0,0.348536304,38278
790,574.0,0.351834305,38757
800,572.0,0.355405104,39241
810,570.0,0.362568136,39729
820,574.0,0.365542832,40208
830,570.0,0.368422283,40683
840,568.0,0.372685896,41156
850,572.0,0.376097806,41640
860,568.0,0.379295918,42119
870,578.0,0.388122299,42587
880,572.0,0.390926104,43062
890,572.0,0.393724545,43542
900,574.0,0.396782998,44029
910,576.0,0.399370205,44501
920,576.0,0.412781421,44992
930,570.0,0.416161852,45470
940,570.0,0.419865627,45940
950,574.0,0.423608678,46418
960,572.0,0.426807507,46899
970,572.0,0.431386038,47363
980,572.0,0.436537534,47840
990,568.0,0.443745238,48326
1000,570.0,0.448322794,48821
1010,568.0,0.452626428,49296
1020,568.0,0.456253931,49789
1030,568.0,0.459409312,50265
1040,572.0,0.462250648,50725
1050,572.0,0.468018026,51198
1060,574.0,0.471727285,51679
1070,576.0,0.475713605,52161
1080,576.0,0.480812361,52642
1090,578.0,0.484785046,53122
1100,574.0,0.487715441,53598
1110,574.0,0.490559823,54085
1120,572.0,0.493422738,54568
1130,574.0,0.496834805,55038
1140,576.0,0.499995584,55525
1150,580.0,0.502716242,56004
1160,578.0,0.506019647,56476
1170,576.0,0.524729088,56959
1180,574.0,0.527481315,57444
1190,578.0,0.530038726,57923
1200,584.0,0.533254767,58407
1210,582.0,0.536306335,58889
1220,580.0,0.539511868,59362
1230,576.0,0.543167362,59844
1240,580.0,0.548059885,60330
1250,580.0,0.551798287,60803
1260,584.0,0.554369307,61294
1270,578.0,0.557225047,61779
1280,576.0,0.561694228,62263
1290,578.0,0.565011958,62752
1300,578.0,0.568745117,63229
1310,578.0,0.572114789,63701
1320,580.0,0.575311083,64175
1330,582.0,0.578144411,64653
1340,578.0,0.599809227,65139
1350,580.0,0.603184258,65616
1360,580.0,0.60714597,66093
1370,584.0,0.610696307,66564
1380,580.0,0.614412083,67060
1390,580.0,0.618618952,67546
1400,584.0,0.621953613,68017
1410,576.0,0.627389472,68499
1420,580.0,0.630462646,68978
1430,580.0,0.633699508,69461
1440,584.0,0.637213258,69944
1450,580.0,0.641398226,70436
1460,582.0,0.644454311,70936
1470,586.0,0.647303622,71418
1480,586.0,0.650051633,71900
1490,588.0,0.654271778,72389
1500,580.0,0.661110227,72869
1510,586.0,0.664836716,73358
1520,586.0,0.669459994,73847
1530,584.0,0.672118558,74335
1540,582.0,0.67496947,74817
1550,582.0,0.678302154,75301
1560,582.0,0.681437812,75772
1570,584.0,0.68415741,76253
1580,582.0,0.688621929,76735
1590,588.0,0.691647325,77218
1600,580.0,0.694574187,77702
1610,582.0,0.697564402,78176
1620,578.0,0.700611029,78656
1630,578.0,0.705097876,79127
1640,580.0,0.709408096,79616
1650,578.0,0.713419405,80109
1660,582.0,0.716374413,80586
1670,580.0,0.719053412,81055
1680,585.0,0.721572143,81532
1690,582.0,0.725227152,82005
1700,580.0,0.728856048,82497
1710,582.0,0.732197367,82970
1720,582.0,0.735406055,83438
1730,582.0,0.738644055,83921
1740,586.0,0.741313895,84394
1750,584.0,0.744745981,84872
1760,588.0,0.748081266,85356
1770,588.0,0.751211991,85847
1780,586.0,0.753669167,86321
1790,580.0,0.757026477,86802
1800,580.0,0.759980594,87279
1810,580.0,0.762704907,87769
1820,582.0,0.773115684,88250
1830,584.0,0.777803547,88726
1840,584.0,0.781231878,89211
1850,586.0,0.787508941,89698
1860,588.0,0.791980972,90186
1870,588.0,0.79637819,90668
1880,586.0,0.804516225,91156
1890,588.0,0.808479661,91627
1900,584.0,0.811660882,92117
1910,584.0,0.815075853,92597
1920,588.0,0.836833965,93083
1930,585.0,0.839910969,93565
1940,586.0,0.843285428,94047
1950,584.0,0.847953213,94528
1960,581.0,0.852486374,95017
1970,584.0,0.855802339,95500
1980,581.0,0.859547609,95995
1990,583.0,0.862690119,96473
2000,583.0,0.866266402,96968
2010,583.0,0.870008099,97444
2020,587.0,0.87354505,97922
2030,583.0,0.876324702,98401
2040,585.0,0.87957214,98883
2050,585.0,0.882262517,99364
2060,583.0,0.884947516,99843
2070,585.0,0.887554206,100328
2080,589.0,0.893640594,100802
2090,585.0,0.896911958,101286
2100,583.0,0.900857987,101764
2110,585.0,0.903748123,102255
2120,589.0,0.90663031,102733
2130,591.0,0.909961851,103217
2140,587.0,0.913107094,103698
2150,597.0,0.916666565,104174
2160,593.0,0.919633685,104660
2170,595.0,0.924536666,105149
2180,591.0,0.928491605,105617
2190,589.0,0.931254077,106095
2200,593.0,0.93886084,106580
2210,591.0,0.947662343,107066
2220,589.0,0.951799612,107557
2230,591.0,0.955119896,108030
2240,589.0,0.960112676,108506
2250,585.0,0.965899182,108999
2260,589.0,0.970160375,109481
2270,593.0,0.973067959,109968
2280,589.0,0.980134149,110453
