0,19.0,0.001136994,591
10,20.0,0.009408473,1077
20,25.0,0.011091584,1566
30,25.0,0.012332937,2040
40,26.0,0.013616872,2522
50,28.0,0.014889299,3000
60,28.0,0.015938634,3492
70,29.0,0.016890623,3962
80,28.0,0.017845598,4451
90,28.0,0.021123525,4931
100,30.0,0.022218993,5419
110,29.0,0.023284556,5894
120,29.0,0.024104212,6369
130,30.0,0.026089984,6852
140,30.0,0.027326303,7345
150,31.0,0.028864525,7827
160,31.0,0.030377888,8319
170,31.0,0.032247425,8803
180,32.0,0.033361411,9298
190,32.0,0.034550886,9777
200,34.0,0.035792623,10265
210,32.0,0.037092237,10737
220,30.0,0.038221312,11219
230,32.0,0.0398742,11709
240,32.0,0.040746234,12185
250,33.0,0.041700218,12662
260,33.0,0.050536311,13148
270,33.0,0.051440486,13631
280,34.0,0.052388487,14112
290,34.0,0.053522407,14592
300,35.0,0.0542577,15089
310,34.0,0.054935138,15575
320,35.0,0.055602387,16055
330,36.0,0.056292722,16536
340,36.0,0.05699948,17023
350,36.0,0.057766823,17513
360,36.0,0.06056953,17992
370,36.0,0.061350646,18467
380,36.0,0.062040536,18955
390,36.0,0.070180893,19443
400,37.0,0.071973,19920
410,36.0,0.072897186,20413
420,37.0,0.073782349,20893
430,38.0,0.074784797,21381
440,39.0,0.075906059,21855
450,39.0,0.077066632,22334
460,39.0,0.07798304,22827
470,39.0,0.079070273,23303
480,39.0,0.080036801,23791
490,38.0,0.08086834,24281
500,39.0,0.082163988,24758
510,38.0,0.083160257,25242
520,41.0,0.084252917,25727
530,41.0,0.085416667,26222
540,38.0,0.086510849,26702
550,40.0,0.08766842,27181
560,39.0,0.089205055,27658
570,39.0,0.090469299,28136
580,38.0,0.091665646,28610
590,39.0,0.092762278,29082
600,39.0,0.093941875,29552
610,40.0,0.095069243,30038
620,40.0,0.09621924,30520
630,40.0,0.097396532,31008
640,40.0,0.098252107,31491
650,41.0,0.099424375,31973
660,40.0,0.100487641,32461
670,39.0,0.101542312,32933
680,40.0,0.102527064,33413
690,41.0,0.103586651,33888
700,40.0,0.104729754,34377
710,40.0,0.105968582,34859
720,41.0,0.106945037,35351
730,40.0,0.10911503,35833
740,40.0,0.110502448,36320
750,40.0,0.111571467,36812
760,39.0,0.113855195,37302
770,39.0,0.11514014,37791
780,40.0,0.116417502,38263
790,41.0,0.117343772,38734
800,41.0,0.118273082,39221
810,41.0,0.119455819,39693
820,41.0,0.120577077,40176
830,42.0,0.121502354,40661
840,46.0,0.122781454,41143
850,47.0,0.123851742,41610
860,42.0,0.124876073,42100
870,42.0,0.125864383,42586
880,42.0,0.127133749,43067
890,42.0,0.128577958,43553
900,42.0,0.12971792,44028
910,42.0,0.130799786,44504
920,43.0,0.132008745,44975
930,43.0,0.132903052,45440
940,43.0,0.133723869,45929
950,43.0,0.134476783,46400
960,43.0,0.135253339,46871
970,44.0,0.1364151,47360
980,47.0,0.137300942,47845
990,43.0,0.138979529,48343
1000,45.0,0.14028593,48835
1010,43.0,0.141337343,49320
1020,43.0,0.144842572,49795
1030,43.0,0.145722928,50274
1040,43.0,0.146436232,50749
1050,44.0,0.147066074,51231
1060,44.0,0.147757684,51717
1070,45.0,0.148609478,52203
1080,44.0,0.149502606,52682
1090,44.0,0.150246073,53173
1100,45.0,0.150992482,53659
1110,44.0,0.152084381,54147
1120,44.0,0.153215855,54622
1130,44.0,0.155008163,55100
1140,44.0,0.15599785,55582
1150,43.0,0.156918602,56075
1160,44.0,0.1581194,56557
1170,44.0,0.159278711,57032
1180,44.0,0.161490773,57523
1190,44.0,0.162675523,58003
1200,44.0,0.163783169,58485
1210,46.0,0.164803229,58976
1220,45.0,0.165856459,59456
1230,46.0,0.166736771,59940
1240,47.0,0.16776647,60427
1250,45.0,0.16862317,60911
1260,47.0,0.169529957,61387
1270,50.0,0.173802029,61865
1280,49.0,0.174899658,62340
1290,50.0,0.17604958,62821
1300,50.0,0.177181632,63311
1310,50.0,0.178345758,63798
1320,50.0,0.184462698,64280
1330,49.0,0.185456091,64755
1340,49.0,0.186597602,65238
1350,50.0,0.187810672,65713
1360,50.0,0.189015238,66207
1370,49.0,0.190162179,66702
1380,50.0,0.195579787,67192
1390,49.0,0.196759146,67682
1400,49.0,0.198316085,68156
1410,49.0,0.199146078,68634
1420,48.0,0.200706334,69115
1430,49.0,0.201796589,69596
1440,49.0,0.202876837,70086
1450,47.0,0.203940904,70560
1460,48.0,0.205010908,71053
1470,49.0,0.206078464,71534
1480,49.0,0.207178981,72016
1490,50.0,0.208331364,72503
1500,50.0,0.210058461,72981
1510,50.0,0.211159131,73483
1520,50.0,0.212250356,73968
1530,50.0,0.21335662,74441
1540,50.0,0.21444691,74927
1550,50.0,0.215541198,75417
1560,49.0,0.216600371,75910
1570,49.0,0.217662369,76391
1580,49.0,0.21881459,76855
1590,50.0,0.220032795,77338
1600,49.0,0.220745713,77817
1610,49.0,0.221518045,78293
1620,49.0,0.222315725,78776
1630,50.0,0.223054993,79261
1640,50.0,0.223907798,79749
1650,50.0,0.224921497,80238
1660,51.0,0.22583307,80737
1670,51.0,0.226698369,81234
1680,52.0,0.227528163,81714
1690,52.0,0.228451498,82201
1700,52.0,0.234483141,82683
1710,51.0,0.23562056,83167
1720,51.0,0.236690822,83650
1730,53.0,0.241830855,84137
1740,54.0,0.243044898,84633
1750,53.0,0.244042889,85102
1760,52.0,0.245100849,85586
1770,52.0,0.246243032,86078
1780,53.0,0.2474081,86552
1790,54.0,0.248491564,87049
1800,53.0,0.249366928,87543
1810,52.0,0.250661696,88040
1820,52.0,0.251592788,88512
1830,53.0,0.252639765,89000
1840,52.0,0.253662253,89488
1850,51.0,0.254830711,89971
1860,51.0,0.256983821,90459
1870,51.0,0.257844635,90939
1880,51.0,0.271728529,91419
1890,51.0,0.272762329,91891
1900,51.0,0.273839663,92371
1910,51.0,0.274966789,92860
1920,52.0,0.276080911,93330
1930,52.0,0.276872169,93819
1940,54.0,0.277730633,94303
1950,54.0,0.286755387,94793
1960,51.0,0.288026424,95277
1970,52.0,0.289715087,95764
1980,51.0,0.290563553,96249
1990,52.0,0.291561258,96731
2000,52.0,0.292660278,97214
2010,52.0,0.293860082,97701
2020,52.0,0.294905087,98187
2030,51.0,0.296380977,98671
2040,52.0,0.303507239,99153
2050,50.0,0.304669554,99646
2060,51.0,0.305890496,100128
2070,50.0,0.307176234,100604
2080,50.0,0.308207065,101095
2090,52.0,0.309298922,101585
2100,54.0,0.310992151,102068
2110,53.0,0.311884168,102537
2120,53.0,0.312904253,103014
2130,53.0,0.313852521,103502
2140,54.0,0.314695136,103986
2150,55.0,0.315626032,104471
2160,55.0,0.3165193,104953
2170,54.0,0.317781695,105437
2180,54.0,0.318868202,105911
2190,54.0,0.319800206,106386
2200,54.0,0.320757967,106867
2210,54.0,0.32184461,107344
2220,54.0,0.322967302,107832
2230,56.0,0.323857364,108324
2240,56.0,0.326583534,108796
2250,58.0,0.32764423,109273
2260,58.0,0.328741571,109764
2270,56.0,0.329620511,110244
2280,63.0,0.330509285,110717
2290,63.0,0.331380583,111203
2300,62.0,0.333613643,111682
2310,63.0,0.334769238,112156
2320,60.0,0.335805792,112639
2330,63.0,0.339288753,113115
2340,63.0,0.340197235,113597
2350,63.0,0.341645061,114085
2360,63.0,0.342474199,114564
2370,63.0,0.343333618,115047
2380,63.0,0.344334995,115532
2390,63.0,0.345436244,116014
2400,64.0,0.346544389,116500
2410,64.0,0.348014057,116976
2420,65.0,0.349104199,117452
2430,64.0,0.351659098,117926
2440,64.0,0.352590143,118402
2450,64.0,0.353528714,118879
2460,63.0,0.354485282,119357
2470,63.0,0.35542763,119838
2480,64.0,0.356307969,120318
2490,64.0,0.357232968,120798
2500,64.0,0.358108035,121275
2510,64.0,0.359346432,121769
2520,64.0,0.372165004,122249
2530,63.0,0.373259942,122721
2540,64.0,0.374103485,123214
2550,64.0,0.374812936,123685
2560,62.0,0.375616096,124166
2570,62.0,0.376452088,124643
2580,65.0,0.377314903,125137
2590,62.0,0.378183086,125627
2600,62.0,0.379197452,126126
2610,62.0,0.380078433,126624
2620,62.0,0.381178835,127097
2630,62.0,0.382806291,127574
2640,63.0,0.383570064,128055
2650,61.0,0.384267371,128543
2660,63.0,0.385313817,129015
2670,61.0,0.386738823,129490
2680,62.0,0.387570255,129972
2690,61.0,0.388468372,130452
2700,61.0,0.389265478,130934
2710,61.0,0.390073756,131414
2720,60.0,0.390895846,131896
2730,61.0,0.391989076,132379
2740,61.0,0.392852941,132863
2750,62.0,0.393658958,133347
2760,62.0,0.394482389,133823
2770,61.0,0.395442124,134307
2780,62.0,0.396354599,134793
2790,62.0,0.397171476,135276
2800,61.0,0.398110436,135764
2810,62.0,0.401719916,136245
2820,62.0,0.402920873,136727
2830,61.0,0.403823586,137209
2840,62.0,0.406841633,137696
2850,62.0,0.407730765,138176
2860,61.0,0.409719867,138661
2870,62.0,0.411211378,139167
2880,62.0,0.412304725,139646
2890,62.0,0.413540315,140136
2900,63.0,0.414692159,140626
2910,62.0,0.4156824,141106
2920,62.0,0.417617222,141584
2930,63.0,0.419192923,142062
2940,63.0,0.420353707,142556
2950,63.0,0.421504517,143034
2960,63.0,0.422543434,143520
2970,63.0,0.423638733,144004
2980,63.0,0.424702661,144488
2990,62.0,0.428417754,144975
3000,63.0,0.429517327,145435
3010,63.0,0.430590789,145926
3020,63.0,0.431660526,146415
3030,63.0,0.432729903,146884
3040,63.0,0.433816396,147360
3050,63.0,0.434744566,147840
3060,63.0,0.435427856,148326
3070,64.0,0.435929872,148811
3080,64.0,0.436532891,149295
3090,64.0,0.437131351,149781
3100,65.0,0.437740754,150275
3110,65.0,0.438334789,150761
3120,65.0,0.438884093,151254
3130,65.0,0.439395194,151737
3140,65.0,0.439982146,152229
3150,65.0,0.440566905,152706
3160,65.0,0.441292063,153190
3170,65.0,0.442021401,153683
3180,66.0,0.442804523,154183
3190,66.0,0.44352978,154662
3200,65.0,0.444130874,155143
3210,66.0,0.444786383,155623
3220,66.0,0.445270645,156111
3230,67.0,0.445775659,156601
3240,67.0,0.446372755,157085
3250,66.0,0.446966531,157569
3260,73.0,0.447624563,158052
3270,69.0,0.448228874,158532
3280,73.0,0.449058374,159020
3290,73.0,0.44981059,159506
3300,72.0,0.450552988,159994
3310,72.0,0.451320279,160479
3320,72.0,0.45219291,160963
3330,73.0,0.45277356,161452
3340,73.0,0.453372469,161928
3350,72.0,0.453960829,162411
3360,72.0,0.454701227,162886
3370,72.0,0.455274189,163358
3380,72.0,0.456000808,163838
3390,72.0,0.456594383,164318
3400,72.0,0.457222221,164814
3410,71.0,0.457944534,165298
3420,71.0,0.458555133,165779
3430,71.0,0.459121003,166265
3440,71.0,0.459824209,166748
3450,71.0,0.460554545,167224
3460,71.0,0.461310284,167695
3470,72.0,0.463613281,168181
3480,72.0,0.464441336,168659
3490,73.0,0.46523939,169128
3500,72.0,0.465995183,169604
3510,72.0,0.466710735,170097
3520,73.0,0.467295466,170579
3530,72.0,0.467856835,171068
3540,73.0,0.469291082,171546
3550,73.0,0.469826576,172016
3560,72.0,0.470533793,172507
3570,72.0,0.472137437,173003
3580,73.0,0.473412835,173483
3590,74.0,0.476841983,173963
3600,74.0,0.47757758,174439
3610,73.0,0.478517683,174922
3620,75.0,0.479184201,175404
3630,75.0,0.479789417,175878
3640,74.0,0.48039306,176358
3650,74.0,0.480996359,176842
3660,74.0,0.481590859,177326
3670,74.0,0.482151908,177808
3680,74.0,0.482748645,178300
3690,74.0,0.485968174,178766
3700,75.0,0.491986189,179259
3710,76.0,0.500679024,179733
3720,77.0,0.501241491,180222
3730,78.0,0.502340655,180703
3740,78.0,0.503875749,181162
3750,77.0,0.504651073,181643
3760,76.0,0.505353474,182111
3770,76.0,0.505988432,182593
3780,77.0,0.506556976,183074
3790,77.0,0.507144712,183565
3800,78.0,0.507721534,184031
3810,81.0,0.508377433,184511
3820,81.0,0.509056933,184988
3830,81.0,0.509785893,185466
3840,81.0,0.510668745,185949
3850,81.0,0.511452521,186431
3860,80.0,0.512154519,186922
3870,77.0,0.51277882,187408
3880,77.0,0.51340777,187893
3890,77.0,0.514144727,188377
3900,77.0,0.514822619,188876
3910,78.0,0.515532631,189355
3920,78.0,0.516139563,189834
3930,77.0,0.516841983,190333
3940,78.0,0.517434383,190812
3950,80.0,0.518051162,191307
3960,80.0,0.518658185,191790
3970,78.0,0.519245104,192268
3980,77.0,0.519838846,192741
3990,77.0,0.520385862,193223
4000,77.0,0.521101528,193714
4010,77.0,0.521847171,194197
4020,77.0,0.522539829,194677
4030,77.0,0.523256145,195169
4040,78.0,0.523880115,195651
4050,78.0,0.524456528,196132
4060,78.0,0.525072063,196614
4070,77.0,0.525598832,197097
4080,77.0,0.526280597,197581
4090,78.0,0.527376881,198057
4100,77.0,0.528153235,198540
4110,77.0,0.528924867,199015
4120,78.0,0.529819248,199509
4130,77.0,0.530604554,200001
4140,77.0,0.531411577,200476
4150,77.0,0.532194796,200950
4160,78.0,0.532953563,201426
4170,78.0,0.53368881,201911
4180,77.0,0.534475997,202403
4190,77.0,0.535333986,202872
4200,78.0,0.535877444,203370
4210,77.0,0.53652007,203847
4220,77.0,0.537640279,204322
4230,78.0,0.538376203,204792
4240,77.0,0.539067138,205274
4250,78.0,0.539697898,205758
