0,25.0,0.001169246,636
10,22.0,0.003370455,1182
20,25.0,0.004442656,1729
30,26.0,0.008331263,2270
40,26.0,0.011681748,2817
50,26.0,0.012574693,3374
60,27.0,0.013666306,3920
70,34.0,0.015340458,4465
80,26.0,0.016579919,5009
90,26.0,0.017779672,5555
100,28.0,0.019831245,6098
110,28.0,0.020824129,6647
120,29.0,0.022911418,7197
130,30.0,0.024669545,7743
140,32.0,0.025316423,8281
150,39.0,0.026792657,8832
160,39.0,0.027913218,9377
170,42.0,0.02883177,9930
180,41.0,0.029976177,10468
190,40.0,0.031345317,11023
200,41.0,0.032310764,11571
210,40.0,0.033040516,12118
220,41.0,0.033880344,12662
230,41.0,0.034575834,13196
240,43.0,0.035276696,13731
250,42.0,0.035903111,14277
260,42.0,0.03649344,14817
270,41.0,0.037137452,15360
280,41.0,0.037779346,15916
290,41.0,0.046756727,16462
300,41.0,0.047451574,17007
310,41.0,0.048968063,17557
320,41.0,0.050010764,18100
330,42.0,0.05444734,18645
340,42.0,0.055219402,19192
350,42.0,0.0559885,19746
360,42.0,0.056769247,20297
370,42.0,0.057583111,20854
380,42.0,0.058383078,21401
390,42.0,0.059153885,21946
400,41.0,0.060544867,22496
410,42.0,0.061140896,23051
420,43.0,0.062215461,23604
430,42.0,0.062993419,24152
440,45.0,0.063765563,24695
450,44.0,0.064590282,25241
460,43.0,0.065430255,25793
470,44.0,0.066246055,26353
480,43.0,0.067069072,26899
490,44.0,0.067885986,27447
500,44.0,0.068767348,27992
510,43.0,0.069354643,28535
520,44.0,0.069998743,29084
530,43.0,0.070697172,29629
540,43.0,0.071334925,30182
550,43.0,0.071974629,30728
560,43.0,0.072572985,31285
570,44.0,0.073182781,31831
580,44.0,0.074517103,32378
590,44.0,0.075468324,32921
600,45.0,0.076011428,33472
610,44.0,0.076600624,34023
620,45.0,0.077182013,34582
630,45.0,0.077777541,35126
640,45.0,0.078825614,35674
650,45.0,0.079754432,36226
660,46.0,0.08058721,36770
670,45.0,0.081302579,37321
680,45.0,0.082041026,37872
690,45.0,0.082728582,38418
700,45.0,0.083365678,38960
710,46.0,0.083988105,39505
720,46.0,0.084663241,40056
730,46.0,0.085242672,40602
740,47.0,0.085959819,41148
750,47.0,0.08668646,41695
760,47.0,0.087392189,42241
770,46.0,0.088187042,42789
780,47.0,0.089596152,43336
790,47.0,0.105027757,43886
800,47.0,0.105659971,44432
810,47.0,0.107283949,44980
820,47.0,0.107925305,45525
830,47.0,0.108550148,46077
840,47.0,0.110859979,46622
850,47.0,0.111563462,47165
860,46.0,0.112293476,47716
870,46.0,0.11309973,48262
880,47.0,0.113886213,48800
890,47.0,0.114565398,49353
900,47.0,0.115318892,49904
910,47.0,0.116090293,50447
920,47.0,0.116751176,51006
930,47.0,0.117387054,51553
940,48.0,0.117999893,52100
950,47.0,0.118729718,52653
960,47.0,0.119516807,53204
970,47.0,0.120164637,53752
980,47.0,0.120765448,54296
990,47.0,0.121411841,54844
1000,47.0,0.123909993,55389
1010,47.0,0.124650309,55938
1020,47.0,0.125269694,56483
1030,47.0,0.12591522,57026
1040,47.0,0.1266245,57577
1050,47.0,0.127228899,58118
1060,48.0,0.127880415,58675
1070,47.0,0.12845976,59218
1080,46.0,0.129233967,59762
1090,47.0,0.129948096,60314
1100,47.0,0.130593122,60866
1110,47.0,0.131242734,61420
1120,47.0,0.132495433,61972
1130,46.0,0.133663548,62513
1140,46.0,0.134282444,63061
1150,47.0,0.139006335,63611
1160,47.0,0.139599177,64160
1170,48.0,0.140223562,64705
1180,47.0,0.140845687,65261
1190,48.0,0.141459503,65808
1200,47.0,0.14209536,66356
1210,47.0,0.144232996,66913
1220,47.0,0.144901562,67465
1230,47.0,0.145511595,68006
1240,47.0,0.146088923,68552
1250,47.0,0.146696502,69097
1260,47.0,0.147344498,69645
1270,47.0,0.147891247,70201
1280,48.0,0.148481376,70752
1290,48.0,0.148982285,71309
1300,48.0,0.149715756,71852
1310,48.0,0.150443473,72398
1320,48.0,0.151197148,72946
1330,48.0,0.152708897,73489
1340,48.0,0.15389142,74037
1350,48.0,0.154744973,74584
1360,48.0,0.155577949,75139
1370,48.0,0.156386518,75696
1380,48.0,0.157230623,76250
1390,48.0,0.158050037,76797
1400,49.0,0.159659586,77351
1410,48.0,0.160359212,77899
1420,48.0,0.1611389,78439
1430,49.0,0.161834933,78993
1440,48.0,0.162424015,79549
1450,48.0,0.163037826,80097
1460,48.0,0.163564064,80647
1470,48.0,0.164107301,81189
1480,48.0,0.164676901,81739
1490,48.0,0.165476202,82286
1500,48.0,0.166261311,82827
1510,48.0,0.167088563,83374
1520,48.0,0.167922348,83924
1530,48.0,0.170648367,84481
1540,48.0,0.171297848,85032
1550,48.0,0.171928521,85584
1560,48.0,0.172628412,86124
1570,48.0,0.173478581,86664
1580,48.0,0.177679245,87222
1590,49.0,0.178355007,87773
1600,49.0,0.180798127,88317
1610,48.0,0.181611423,88857
1620,48.0,0.182442903,89404
1630,48.0,0.183261031,89957
1640,48.0,0.184109004,90508
1650,48.0,0.184915135,91056
1660,48.0,0.185762817,91605
1670,47.0,0.186598313,92158
1680,48.0,0.187414607,92704
1690,48.0,0.188243949,93249
1700,49.0,0.189986072,93798
1710,48.0,0.193379211,94346
1720,48.0,0.194176863,94899
1730,54.0,0.195005354,95455
1740,52.0,0.195850493,95998
1750,55.0,0.196650151,96543
1760,56.0,0.197512095,97098
1770,56.0,0.198338366,97651
1780,54.0,0.199070981,98202
1790,55.0,0.20033559,98754
1800,58.0,0.20095845,99305
1810,55.0,0.204594654,99862
1820,57.0,0.205212586,100410
1830,57.0,0.205833105,100939
1840,59.0,0.206447653,101487
1850,58.0,0.207088848,102041
1860,60.0,0.207693301,102594
1870,59.0,0.208366809,103144
1880,60.0,0.209036741,103689
1890,60.0,0.209759187,104238
1900,60.0,0.210308739,104789
1910,60.0,0.210858928,105335
1920,60.0,0.212067614,105878
1930,59.0,0.212676289,106430
1940,60.0,0.213317753,106969
1950,60.0,0.213947679,107507
1960,59.0,0.214578669,108052
1970,60.0,0.215242882,108593
1980,60.0,0.216866818,109142
1990,60.0,0.217506577,109692
2000,60.0,0.218205599,110233
2010,60.0,0.218977432,110778
2020,61.0,0.219758611,111328
2030,60.0,0.220273009,111877
2040,60.0,0.220971376,112425
2050,61.0,0.222352426,112980
2060,60.0,0.22318774,113524
2070,61.0,0.22401651,114066
2080,60.0,0.224850183,114613
2090,60.0,0.226103738,115157
2100,61.0,0.227212122,115697
2110,60.0,0.229998222,116249
